emoji,name,name_emotion,name_emotion_vec
🇨🇰,flag: Cook Islands,neutral,"[0.004251951351761818, 0.002568858442828059, 0.002839840017259121, 0.006146647501736879, 0.012830113060772419, 0.0009482007008045912, 0.002925137523561716, 0.0018450446659699082, 0.0010021408088505268, 0.0029236413538455963, 0.002644267398864031, 0.002265192801132798, 0.0007947591948322952, 0.003117282409220934, 0.0017694252310320735, 0.0010807563085108995, 0.0005081366398371756, 0.0025725755840539932, 0.0014370919670909643, 0.0004197451053187251, 0.0015140228206291795, 0.0004660674894694239, 0.005792219657450914, 0.0003885132900904864, 0.00038870424032211304, 0.002350007649511099, 0.0012844409793615341, 0.9661499857902527]"
🇨🇱,flag: Chile,neutral,"[0.004761219955980778, 0.002645214321091771, 0.003612836357206106, 0.006869474891573191, 0.01294152345508337, 0.0010833368869498372, 0.002531368751078844, 0.0017417378257960081, 0.0011613734532147646, 0.0031258543021976948, 0.002266319002956152, 0.002863117726519704, 0.0009492328390479088, 0.00380293489433825, 0.002152069006115198, 0.000978244235739112, 0.000597574224229902, 0.0030212034471333027, 0.00180080346763134, 0.0004771290114149451, 0.0015778751112520695, 0.0005890844622626901, 0.005510590970516205, 0.0004328936047386378, 0.00044809066457673907, 0.0027208703104406595, 0.0014381831279024482, 0.9674308896064758]"
🇨🇲,flag: Cameroon,neutral,"[0.004740619566291571, 0.0026875468902289867, 0.003524376079440117, 0.00661978404968977, 0.015183443203568459, 0.0009509053197689354, 0.002692026551812887, 0.0017606733599677682, 0.0010631021577864885, 0.0027196297887712717, 0.002112690359354019, 0.0026377562899142504, 0.0008927261806093156, 0.0035784265492111444, 0.001924426294863224, 0.0007456608000211418, 0.0005331094143912196, 0.0029481942765414715, 0.0019621422979980707, 0.0004219310649204999, 0.0014643004396930337, 0.0005653409170918167, 0.006351654417812824, 0.00040011893725022674, 0.00040842394810169935, 0.002274821512401104, 0.0013481325004249811, 0.9647257924079895]"
🇨🇳,flag: China,neutral,"[0.004782885778695345, 0.0027219534385949373, 0.0032537514343857765, 0.007434306666254997, 0.01753387041389942, 0.0009855066891759634, 0.0018339455127716064, 0.0014968599425628781, 0.0011050669709220529, 0.0027801222167909145, 0.001956552267074585, 0.0025867277290672064, 0.0007618465460836887, 0.003178507788106799, 0.0015632295981049538, 0.0005349202547222376, 0.0004244224983267486, 0.002410860499367118, 0.0017541692359372973, 0.00035643382580019534, 0.001571681466884911, 0.00048510124906897545, 0.006140573415905237, 0.000353158509824425, 0.00035724809276871383, 0.0020122092682868242, 0.001090234611183405, 0.9633272290229797]"
🇨🇴,flag: Colombia,neutral,"[0.004577810410410166, 0.002697225660085678, 0.003359706373885274, 0.006237962283194065, 0.014011450111865997, 0.0010982794919982553, 0.0027236430905759335, 0.0018111694371327758, 0.0012145998189225793, 0.002741939155384898, 0.0020791711285710335, 0.002666998887434602, 0.0008712116978131235, 0.0037462105974555016, 0.0020614638924598694, 0.0008879994275048375, 0.000554975587874651, 0.0029288348741829395, 0.0019171962048858404, 0.00045970603241585195, 0.0016452653799206018, 0.0005556459072977304, 0.005625581834465265, 0.00040543905925005674, 0.0004504679818637669, 0.0024499217979609966, 0.00132145662792027, 0.9665679931640625]"
🇨🇵,flag: Clipperton Island,neutral,"[0.004820762202143669, 0.0022708619944751263, 0.0026105756405740976, 0.00535911601036787, 0.013799932785332203, 0.0010202272096648812, 0.0027493133675307035, 0.0017006091075018048, 0.0011457949876785278, 0.003171897027641535, 0.002702672965824604, 0.002233789535239339, 0.0007553260657005012, 0.0031330902129411697, 0.0018517007119953632, 0.0011842597741633654, 0.0005288344109430909, 0.0026364868972450495, 0.001705652684904635, 0.0004286940675228834, 0.001848036190494895, 0.0005001560784876347, 0.005466369912028313, 0.0004105230327695608, 0.0004370237293187529, 0.002619109582155943, 0.0011896108044311404, 0.9675881266593933]"
🇨🇷,flag: Costa Rica,neutral,"[0.005067311227321625, 0.00265896855853498, 0.003157447325065732, 0.00633808970451355, 0.014768106862902641, 0.0010954280151054263, 0.0024643922224640846, 0.0015741565730422735, 0.001116053550504148, 0.002808248158544302, 0.002223591087386012, 0.0026646992191672325, 0.0008536632522009313, 0.0036206545773893595, 0.0019909238908439875, 0.0009625917300581932, 0.0005280541954562068, 0.002972685731947422, 0.0018074422841891646, 0.0004441595228854567, 0.0016290077473968267, 0.0005890187458135188, 0.005727691110223532, 0.0004289981734473258, 0.000417177943745628, 0.0022962037473917007, 0.0012468001805245876, 0.9664933085441589]"
🇨🇺,flag: Cuba,neutral,"[0.004459287039935589, 0.002878880361095071, 0.003824289422482252, 0.006633633282035589, 0.012149287387728691, 0.001093589817173779, 0.002645907923579216, 0.001921227783896029, 0.0012449719943106174, 0.002803320996463299, 0.0020129901822656393, 0.002744609722867608, 0.0008781432406976819, 0.0037413891404867172, 0.0020549490582197905, 0.0008310339180752635, 0.0005818883655592799, 0.0030648664105683565, 0.0019473240245133638, 0.0004580759268719703, 0.0015943964244797826, 0.0005367760313674808, 0.005270787980407476, 0.0003948151133954525, 0.00045683953794650733, 0.0026224013417959213, 0.0013987914426252246, 0.9661052823066711]"
🇨🇻,flag: Cape Verde,neutral,"[0.0046342709101736546, 0.002530486322939396, 0.0023374343290925026, 0.004955972544848919, 0.014748133718967438, 0.0010048183612525463, 0.003073659725487232, 0.001957956003025174, 0.0013264409499242902, 0.0029604786541312933, 0.0025717804674059153, 0.0023283595219254494, 0.000773907988332212, 0.0036121343728154898, 0.0018190396949648857, 0.0012461114674806595, 0.0005536183016374707, 0.003006517654284835, 0.0019939227495342493, 0.00042544736061245203, 0.0017558393301442266, 0.0005007351865060627, 0.0059450245462358, 0.00043156606261618435, 0.00045645100180990994, 0.002544901566579938, 0.0012871748767793179, 0.9674485325813293]"
🇨🇼,flag: Curaçao,neutral,"[0.0051382360979914665, 0.002430720953270793, 0.00300380471162498, 0.0058281621895730495, 0.014584016986191273, 0.0009778031380847096, 0.0024095182307064533, 0.0016175644705072045, 0.0010768104111775756, 0.0029501740355044603, 0.0024777718354016542, 0.002561791567131877, 0.0008765389793552458, 0.003554773284122348, 0.0019120468059554696, 0.0011257650330662727, 0.0005273479619063437, 0.0027188784442842007, 0.0018631091807037592, 0.00039610161911696196, 0.001583874225616455, 0.0005678734742105007, 0.005430895369499922, 0.0004183619748800993, 0.0004179041425231844, 0.0022861245088279247, 0.0013319301651790738, 0.9655999541282654]"
🇨🇽,flag: Christmas Island,neutral,"[0.00532027892768383, 0.0030490653589367867, 0.002679971046745777, 0.004664320964366198, 0.012499094009399414, 0.0010888988617807627, 0.0025291400961577892, 0.0018617396708577871, 0.0014860653318464756, 0.0028533614240586758, 0.0020469147711992264, 0.0023893110919743776, 0.0009403415606357157, 0.007586224935948849, 0.0022364447358995676, 0.0015588811365887523, 0.0007020084885880351, 0.006730810739099979, 0.0033861962147057056, 0.0005450555472634733, 0.0015919299330562353, 0.0007852330454625189, 0.005407243967056274, 0.0006078574806451797, 0.00046404357999563217, 0.0027625402435660362, 0.00198885309509933, 0.960865318775177]"
🇨🇾,flag: Cyprus,neutral,"[0.004231364466249943, 0.002599742030724883, 0.003880207659676671, 0.006704285740852356, 0.012979411520063877, 0.0011633946560323238, 0.00265505351126194, 0.0018009226769208908, 0.0011714615393429995, 0.0027149158995598555, 0.002189246006309986, 0.002570836339145899, 0.0008314375299960375, 0.0034635006450116634, 0.0020228095818310976, 0.0010067798430100083, 0.0005664447089657187, 0.002864125417545438, 0.0017435422632843256, 0.00043877484858967364, 0.0015487528871744871, 0.0005238588200882077, 0.005196107551455498, 0.0003972513659391552, 0.00043391677900217474, 0.0025771167129278183, 0.0012498636497184634, 0.9663976430892944]"
🇨🇿,flag: Czechia,neutral,"[0.003895570058375597, 0.0024883043952286243, 0.0030144189950078726, 0.006146818865090609, 0.014412873424589634, 0.000979867298156023, 0.0030970857478678226, 0.002007060684263706, 0.001083407667465508, 0.002626253990456462, 0.002344004111364484, 0.0022399292793124914, 0.0007544060354121029, 0.0031261693220585585, 0.0017049276502802968, 0.0007990412996150553, 0.0004842636117246002, 0.0025222781114280224, 0.001631980063393712, 0.0004051774740219116, 0.0016128377756103873, 0.0004564711998682469, 0.0060485368594527245, 0.0003644236421678215, 0.00037067008088342845, 0.0021923950407654047, 0.0012102847686037421, 0.9666358232498169]"
🇩🇪,flag: Germany,neutral,"[0.00424495805054903, 0.00250211707316339, 0.003239165525883436, 0.005837339907884598, 0.013882526196539402, 0.0011788950068876147, 0.002583279274404049, 0.001620905357412994, 0.0013343336759135127, 0.0028123653028160334, 0.0021611154079437256, 0.0023571387864649296, 0.0008006197749637067, 0.003584799589589238, 0.0020970902405679226, 0.001025747274979949, 0.000579422281589359, 0.0030525883194059134, 0.0020565895829349756, 0.0004659809055738151, 0.0018476159311830997, 0.0005424720584414899, 0.005921347066760063, 0.00042306448449380696, 0.0004747336497530341, 0.002617494435980916, 0.0013043576618656516, 0.967357873916626]"
🇩🇬,flag: Diego Garcia,neutral,"[0.004456326365470886, 0.002700584242120385, 0.0029175623785704374, 0.0063226306810975075, 0.012751796282827854, 0.0010108554270118475, 0.0028572184965014458, 0.0017653878312557936, 0.0011863477993756533, 0.0031693472992628813, 0.0025940830819308758, 0.0026993954088538885, 0.0009588799439370632, 0.0033444263972342014, 0.0020841695368289948, 0.001100242487154901, 0.0005778977647423744, 0.002807806245982647, 0.001643241266719997, 0.00048193123075179756, 0.0018404627917334437, 0.0005407881108112633, 0.006082715000957251, 0.00044092346797697246, 0.00047089732834137976, 0.0026737332809716463, 0.0014436073834076524, 0.9685831665992737]"
🇩🇯,flag: Djibouti,neutral,"[0.0034324980806559324, 0.002089750487357378, 0.0028042185585945845, 0.006273249164223671, 0.014079438522458076, 0.0010660493280738592, 0.0029144457075744867, 0.0018786463188007474, 0.0013465124648064375, 0.0037657537031918764, 0.0034399686846882105, 0.0026402033399790525, 0.0008483466226607561, 0.0028122891671955585, 0.001881866017356515, 0.0008944788132794201, 0.0005859204102307558, 0.002419140888378024, 0.0017672957619652152, 0.0004633635107893497, 0.001608984894119203, 0.000418134470237419, 0.0059011527337133884, 0.00039743579691275954, 0.0004633783537428826, 0.0032004700042307377, 0.0011032389011234045, 0.9683862328529358]"
🇩🇰,flag: Denmark,neutral,"[0.0043792626820504665, 0.0023874309845268726, 0.002735006157308817, 0.005476715974509716, 0.01388547196984291, 0.0011704765493050218, 0.0030484593007713556, 0.0017761100316420197, 0.0013850920367985964, 0.0030031362548470497, 0.0022911462001502514, 0.0023464923724532127, 0.0008068563765846193, 0.0037438306026160717, 0.0021282355301082134, 0.0010499466443434358, 0.0005701089394278824, 0.0029430908616632223, 0.0018204412190243602, 0.0005024942802265286, 0.0019165530102327466, 0.0005503426655195653, 0.006276343949139118, 0.00044994722702540457, 0.00046507027582265437, 0.002563434885814786, 0.0013857410522177815, 0.9688693881034851]"
🇩🇲,flag: Dominica,neutral,"[0.0049082511104643345, 0.0024320371448993683, 0.002965363906696439, 0.005781227257102728, 0.01563246361911297, 0.001058477209880948, 0.002534632571041584, 0.0016037211753427982, 0.001182457199320197, 0.0028398861177265644, 0.002252058358862996, 0.002355966018512845, 0.0007750688819214702, 0.0031901970505714417, 0.0017755419248715043, 0.0009490770171396434, 0.0005493105272762477, 0.002975782146677375, 0.0018963098991662264, 0.000416144059272483, 0.0017037132056429982, 0.0005562847363762558, 0.006231784354895353, 0.000430236425017938, 0.0004299728025216609, 0.002559863729402423, 0.0011847126297652721, 0.9669378995895386]"
🇩🇴,flag: Dominican Republic,neutral,"[0.004611423704773188, 0.0026594060473144054, 0.0032419778872281313, 0.0068036955781280994, 0.01313492376357317, 0.000983120989985764, 0.002974926494061947, 0.0018749830778688192, 0.0011176384286955, 0.003044468117877841, 0.002452080836519599, 0.0027445717714726925, 0.0008872032631188631, 0.003047313541173935, 0.0019854228012263775, 0.0009420288843102753, 0.0005477903760038316, 0.00256783002987504, 0.0015606024535372853, 0.0004416701558511704, 0.0015250048600137234, 0.0005064377328380942, 0.005768308416008949, 0.0003870764921884984, 0.00041920709190890193, 0.002536504529416561, 0.0012666338589042425, 0.9668188095092773]"
🇩🇿,flag: Algeria,neutral,"[0.005021841265261173, 0.002805781550705433, 0.003676848951727152, 0.0062172370962798595, 0.011912776157259941, 0.0011590297799557447, 0.0029843111988157034, 0.0019747992046177387, 0.0012886192416772246, 0.0028704169671982527, 0.0020636713597923517, 0.0027066541370004416, 0.0009052878012880683, 0.004104647319763899, 0.002266545547172427, 0.000997767667286098, 0.0006210263236425817, 0.0033093637321144342, 0.0020491399336606264, 0.0005082202260382473, 0.001584738725796342, 0.0005910624749958515, 0.005345004610717297, 0.0004294124955777079, 0.00047832485870458186, 0.0026877287309616804, 0.0015280566876754165, 0.9668524265289307]"
🇪🇦,flag: Ceuta & Melilla,neutral,"[0.003774279961362481, 0.002501455368474126, 0.0027651095297187567, 0.006249222904443741, 0.012965205125510693, 0.0009485887130722404, 0.0033278765622526407, 0.001662869588471949, 0.0010444441577419639, 0.0032979692332446575, 0.0033165274653583765, 0.00227216724306345, 0.0008257991285063326, 0.0026551992632448673, 0.0018395589431747794, 0.0010362145258113742, 0.0005197547725401819, 0.002471440238878131, 0.0013657776871696115, 0.00043771101627498865, 0.0018560746684670448, 0.00045293004950508475, 0.0066982451826334, 0.00040501373587176204, 0.000412966386647895, 0.0025307610630989075, 0.0012233922025188804, 0.9686888456344604]"
🇪🇨,flag: Ecuador,neutral,"[0.004706994164735079, 0.002649137284606695, 0.0031982697546482086, 0.006806825287640095, 0.013978458009660244, 0.000929074187297374, 0.002830571960657835, 0.0020126826129853725, 0.0010723405284807086, 0.002878279658034444, 0.0021563998889178038, 0.0028024802450090647, 0.0008893530466593802, 0.0035225930623710155, 0.0019417384173721075, 0.0008297085878439248, 0.0005070391343906522, 0.0026514020282775164, 0.001682065543718636, 0.00042720502824522555, 0.0015091554960235953, 0.0005117522669024765, 0.005605744197964668, 0.0003786702291108668, 0.0003709013690240681, 0.0022832516115158796, 0.0013339765137061477, 0.9662225842475891]"
🇪🇪,flag: Estonia,neutral,"[0.004915207624435425, 0.0026580998674035072, 0.0032044844701886177, 0.0059665497392416, 0.014873924665153027, 0.001067355740815401, 0.0026117742527276278, 0.0018410095945000648, 0.0011900499230250716, 0.002689304994419217, 0.0019154871115460992, 0.00254158116877079, 0.0008606087067164481, 0.004271283745765686, 0.0020735454745590687, 0.0009997941087931395, 0.0005701368791051209, 0.003228045767173171, 0.0018982947804033756, 0.0004626897571142763, 0.001566310878843069, 0.0005999020067974925, 0.005713974125683308, 0.00043237910722382367, 0.0004252973012626171, 0.0024716060142964125, 0.0013898138422518969, 0.9652585983276367]"
🇪🇬,flag: Egypt,neutral,"[0.004746514838188887, 0.0026406480465084314, 0.004041575361043215, 0.007462278474122286, 0.012062527239322662, 0.0010228134924545884, 0.0026019944343715906, 0.0017816025065258145, 0.0010708016343414783, 0.0029999485705047846, 0.0022984552197158337, 0.0029392747674137354, 0.000911708630155772, 0.003540125908330083, 0.002136232564225793, 0.0009464469621889293, 0.0005577139090746641, 0.0027994487900286913, 0.001699176849797368, 0.0004485988465603441, 0.001470973715186119, 0.000539139611646533, 0.005099793896079063, 0.0003877177950926125, 0.0004057308251503855, 0.002511515049263835, 0.001393767655827105, 0.9659934639930725]"
🇪🇭,flag: Western Sahara,neutral,"[0.005011023487895727, 0.002728607039898634, 0.003095098538324237, 0.005849073175340891, 0.011415713466703892, 0.0010343139292672276, 0.003093179315328598, 0.0019305319292470813, 0.0013347548665478826, 0.0032203695736825466, 0.0024664797820150852, 0.0026546637527644634, 0.0009275519987568259, 0.0038367530796676874, 0.0023160867858678102, 0.0011945627629756927, 0.0006353159551508725, 0.003080458613112569, 0.0017451514722779393, 0.0005132940714247525, 0.001667967182584107, 0.0005621374002657831, 0.005557627882808447, 0.00043749806354753673, 0.0004801015602424741, 0.002885576104745269, 0.001524760271422565, 0.9669539928436279]"
🇪🇷,flag: Eritrea,neutral,"[0.0043624588288366795, 0.0027023558504879475, 0.003400611225515604, 0.006771539803594351, 0.013405179604887962, 0.0010519539937376976, 0.002854965627193451, 0.0018772457260638475, 0.0011089779436588287, 0.0027173804119229317, 0.002140624914318323, 0.002689656801521778, 0.0008729587425477803, 0.0034144562669098377, 0.002007634611800313, 0.0008571346406824887, 0.0005408594734035432, 0.002837298670783639, 0.0017039680387824774, 0.0004501507501117885, 0.001506382948718965, 0.000521057634614408, 0.005704654846340418, 0.00038840199704281986, 0.00041316720307804644, 0.0024091615341603756, 0.0012984302593395114, 0.9650534987449646]"
🇪🇸,flag: Spain,neutral,"[0.00504683842882514, 0.002562777604907751, 0.003417771076783538, 0.00625249557197094, 0.014436205849051476, 0.0011052790796384215, 0.0025024060159921646, 0.0015951372915878892, 0.0012055368861183524, 0.002828353550285101, 0.001967828720808029, 0.0026635448448359966, 0.000887384987436235, 0.003771466203033924, 0.0021001636050641537, 0.0009515904821455479, 0.0005808635032735765, 0.0030977055430412292, 0.002065023873001337, 0.0004673184594139457, 0.001614358858205378, 0.0006166218663565814, 0.006035001017153263, 0.0004362021281849593, 0.0004576083447318524, 0.0025512848515063524, 0.0013496868778020144, 0.9651778936386108]"
🇪🇹,flag: Ethiopia,neutral,"[0.0052755349315702915, 0.002648727735504508, 0.003911145497113466, 0.007375366985797882, 0.0130764190107584, 0.0010512798326089978, 0.002328577684238553, 0.0015970850363373756, 0.0011548909824341536, 0.003101477399468422, 0.0022272493224591017, 0.003124197944998741, 0.001003060839138925, 0.0038680811412632465, 0.002280360786244273, 0.0009441894362680614, 0.0005985700991004705, 0.003021571319550276, 0.0018169536488130689, 0.00047390852705575526, 0.001498522120527923, 0.000636711367405951, 0.005467511247843504, 0.0004316697595641017, 0.0004595912469085306, 0.002697561401873827, 0.0014541549608111382, 0.9657019972801208]"
🇪🇺,flag: European Union,neutral,"[0.004319789819419384, 0.002788529498502612, 0.0028810424264520407, 0.006226554047316313, 0.012001044116914272, 0.0010229191975668073, 0.0032901435624808073, 0.0019929874688386917, 0.001202419283799827, 0.0029467495623975992, 0.0021475020330399275, 0.0023047032300382853, 0.0008335741586051881, 0.0032020786311477423, 0.0018203981453552842, 0.0009290149318985641, 0.0005412441678345203, 0.002812010934576392, 0.0014552540378645062, 0.00047227783943526447, 0.0017642362508922815, 0.000493474886752665, 0.00595585023984313, 0.0004030183481518179, 0.0004401339974720031, 0.002553030615672469, 0.00132745411247015, 0.9669864177703857]"
🇫🇮,flag: Finland,neutral,"[0.00548045476898551, 0.002330561401322484, 0.0028316339012235403, 0.005519733764231205, 0.014671249315142632, 0.0011085480218753219, 0.002708730986341834, 0.001857017632573843, 0.001261351746506989, 0.0027930745854973793, 0.0020543241407722235, 0.002363177016377449, 0.0007975746411830187, 0.004082044120877981, 0.0020113640930503607, 0.0010911999270319939, 0.0005530015914700925, 0.003035453148186207, 0.0017411510925740004, 0.0004513676685746759, 0.0018014583038166165, 0.0006017341511324048, 0.005737923551350832, 0.00043917278526350856, 0.00042937544640153646, 0.002366043860092759, 0.0013554681790992618, 0.9681226015090942]"
🇫🇯,flag: Fiji,neutral,"[0.005074455868452787, 0.0027087267953902483, 0.003470255294814706, 0.006425794679671526, 0.01357900071889162, 0.0010588029399514198, 0.002554065315052867, 0.001790289650671184, 0.001138115650974214, 0.0027695833705365658, 0.002098741242662072, 0.0027979000005871058, 0.000953787995968014, 0.004359972197562456, 0.002082051243633032, 0.0010830871760845184, 0.0005760050844401121, 0.003248960943892598, 0.001875720452517271, 0.00045585984480567276, 0.001482754130847752, 0.0006318956729955971, 0.005583556368947029, 0.00044670526403933764, 0.0004568939039018005, 0.002393740927800536, 0.0015194352017715573, 0.9658089280128479]"
🇫🇰,flag: Falkland Islands,neutral,"[0.003840154968202114, 0.002653574338182807, 0.002862675581127405, 0.006164812948554754, 0.01236913725733757, 0.0010431896662339568, 0.00327136367559433, 0.0020180705469101667, 0.0010765816550701857, 0.0027835643850266933, 0.002425015904009342, 0.002316886791959405, 0.0008391599985770881, 0.003168310970067978, 0.0018454750534147024, 0.001110594253987074, 0.0005352020380087197, 0.0026990484911948442, 0.0014080830151215196, 0.00045955489622429013, 0.001554685877636075, 0.0004687983600888401, 0.005856337025761604, 0.0004076298500876874, 0.00041767198126763105, 0.0024445399176329374, 0.001305524492636323, 0.965914249420166]"
🇫🇲,flag: Micronesia,neutral,"[0.0042110104113817215, 0.002770036458969116, 0.0024110509548336267, 0.00531871197745204, 0.015482482500374317, 0.0008123554289340973, 0.003607925260439515, 0.0021571435499936342, 0.0008523193537257612, 0.0027358816005289555, 0.002448531799018383, 0.0021106565836817026, 0.0008234300184994936, 0.00344184716232121, 0.0017592540243640542, 0.0009186416864395142, 0.0004764280456583947, 0.0026307005900889635, 0.0016412766417488456, 0.0004220014961902052, 0.001558545627631247, 0.0004773123364429921, 0.00718687754124403, 0.00038588017923757434, 0.00036212371196597815, 0.001997562125325203, 0.0014406107366085052, 0.964862585067749]"
🇫🇴,flag: Faroe Islands,neutral,"[0.0045369891449809074, 0.002701321616768837, 0.0027810519095510244, 0.00567319942638278, 0.012068144045770168, 0.001066612545400858, 0.0033636270090937614, 0.002081839134916663, 0.0011661846656352282, 0.003257305594161153, 0.002813989296555519, 0.0023904682602733374, 0.0008447538712061942, 0.00330171431414783, 0.0020439382642507553, 0.0011810006108134985, 0.0005985617754049599, 0.002931838622316718, 0.00166028062812984, 0.0004903607768937945, 0.0015841948334127665, 0.0004889376577921212, 0.005523113999515772, 0.000422135490225628, 0.00044549437006935477, 0.0028333121445029974, 0.0013219114625826478, 0.9678161144256592]"
🇫🇷,flag: France,neutral,"[0.005848605185747147, 0.002589411335065961, 0.00352865899913013, 0.005638931877911091, 0.015121729113161564, 0.0010887961834669113, 0.0027167419902980328, 0.001818875316530466, 0.001203384599648416, 0.00278392038308084, 0.0019090046407654881, 0.002627868205308914, 0.0008839217480272055, 0.004043679218739271, 0.0021220946218818426, 0.0009718025685288012, 0.0006212820881046355, 0.0034236344508826733, 0.002350949216634035, 0.00045819146907888353, 0.0015383909922093153, 0.000645062536932528, 0.00589928450062871, 0.00043705326970666647, 0.0004906323738396168, 0.0026415789034217596, 0.001404246431775391, 0.9650204181671143]"
🇬🇦,flag: Gabon,neutral,"[0.003891616128385067, 0.0025359047576785088, 0.0035183592699468136, 0.00673945527523756, 0.01161929965019226, 0.0010071884607896209, 0.002775152213871479, 0.0017768025863915682, 0.0012165524531155825, 0.003252375638112426, 0.0025757160037755966, 0.0026818730402737856, 0.0009652876178734004, 0.003465048037469387, 0.00215705344453454, 0.000993258785456419, 0.0006050979718565941, 0.002788697835057974, 0.0016356176929548383, 0.0004802745534107089, 0.0015898395795375109, 0.000519020773936063, 0.0058988952077925205, 0.0004134520422667265, 0.00046924169873818755, 0.002852024044841528, 0.0014912268379703164, 0.9671693444252014]"
🇬🇧,flag: United Kingdom,neutral,"[0.004110150039196014, 0.0020983098074793816, 0.0029189246706664562, 0.006864259019494057, 0.013267937116324902, 0.0008373224409297109, 0.004209998995065689, 0.002363388193771243, 0.0009631238062866032, 0.0031961421482264996, 0.0024275516625493765, 0.002351771341636777, 0.0008040518150664866, 0.0022907396778464317, 0.001685155089944601, 0.0007826560758985579, 0.0004759949806611985, 0.0019179352093487978, 0.0012566815130412579, 0.0003988713142462075, 0.001610301318578422, 0.0003937962756026536, 0.006164529360830784, 0.0003231427981518209, 0.0003532322880346328, 0.0024164787027984858, 0.001187783433124423, 0.9659885764122009]"
🇬🇩,flag: Grenada,neutral,"[0.003988552372902632, 0.0029340782202780247, 0.003869319334626198, 0.007078391965478659, 0.012487700209021568, 0.0010637752711772919, 0.0027894792146980762, 0.001770327682606876, 0.0011455253697931767, 0.0030537638813257217, 0.0025220769457519054, 0.002834281185641885, 0.0010229269973933697, 0.0036130044609308243, 0.002317473292350769, 0.0009239959181286395, 0.0006101630278863013, 0.003014609683305025, 0.0016143473330885172, 0.0005016140057705343, 0.0015231914585456252, 0.0005702246562577784, 0.005851680412888527, 0.0004233545041643083, 0.00046610634308308363, 0.0027578664012253284, 0.0014842594973742962, 0.9666725993156433]"
🇬🇪,flag: Georgia,neutral,"[0.005178454797714949, 0.002638219390064478, 0.003673163242638111, 0.006842274218797684, 0.013664274476468563, 0.0010557405184954405, 0.002406086539849639, 0.0017069303430616856, 0.0010993037139996886, 0.0029507591389119625, 0.002135438844561577, 0.002827069256454706, 0.0009293030598200858, 0.003716152161359787, 0.0020874994806945324, 0.0009720951202325523, 0.0005750092095695436, 0.002941922750324011, 0.0018147797090932727, 0.0004480630741454661, 0.0015092403627932072, 0.0006004985771141946, 0.005600511096417904, 0.00042281291098333895, 0.00043169260607101023, 0.002523804549127817, 0.0013805788476020098, 0.9661415219306946]"
🇬🇫,flag: French Guiana,neutral,"[0.004773187451064587, 0.002379177138209343, 0.002419599099084735, 0.005400234833359718, 0.016045084223151207, 0.0008148215711116791, 0.003951959777623415, 0.0021815348882228136, 0.0009965455392375588, 0.0027372443582862616, 0.0021871752105653286, 0.0025779977440834045, 0.0008059607935138047, 0.0024549495428800583, 0.0016424552304670215, 0.0008303527720272541, 0.00047150501632131636, 0.0019998622592538595, 0.0017778327455744147, 0.0003654872125480324, 0.001567475963383913, 0.0004210007900837809, 0.007478882092982531, 0.00034646340645849705, 0.0004007673414889723, 0.002142746467143297, 0.001213790848851204, 0.9623968601226807]"
🇬🇬,flag: Guernsey,neutral,"[0.004828805103898048, 0.0026499247178435326, 0.0030166497454047203, 0.005906775128096342, 0.013091173954308033, 0.000999431125819683, 0.002947465516626835, 0.0018750489689409733, 0.0012381261913105845, 0.003077383618801832, 0.0024275537580251694, 0.0025300581473857164, 0.0009146646480076015, 0.003966580145061016, 0.0019762027077376842, 0.0010594259947538376, 0.0005623273318633437, 0.003168833442032337, 0.0019917988684028387, 0.0004703038721345365, 0.0016656932421028614, 0.0005640031886287034, 0.00574727077037096, 0.00042985237087123096, 0.00045173842227086425, 0.0025176373310387135, 0.001457675127312541, 0.967808187007904]"
🇬🇭,flag: Ghana,neutral,"[0.005688431207090616, 0.003048640675842762, 0.0033907804172486067, 0.006777690723538399, 0.014056210406124592, 0.0009127350640483201, 0.002632963238283992, 0.0017578344559296966, 0.001006720820441842, 0.002819815883412957, 0.0019693130161613226, 0.002844633534550667, 0.0010186221916228533, 0.004169701598584652, 0.002117333933711052, 0.0009481017477810383, 0.0005724579095840454, 0.0032643217127770185, 0.0017425637925043702, 0.0004687016480602324, 0.0014540815027430654, 0.0006726374267600477, 0.006186425685882568, 0.0004475351015571505, 0.00043876393465325236, 0.002390303649008274, 0.0015879664570093155, 0.9641024470329285]"
🇬🇮,flag: Gibraltar,neutral,"[0.004737947601824999, 0.0025984442327171564, 0.003332169959321618, 0.005763647612184286, 0.013595112599432468, 0.0010828302474692464, 0.0027607595548033714, 0.0018097148276865482, 0.0012106080539524555, 0.002825469011440873, 0.0021902599837630987, 0.002563243266195059, 0.0008543883450329304, 0.003947305493056774, 0.00216223974712193, 0.0010316937696188688, 0.000593154167290777, 0.0031370569486171007, 0.0019927930552512407, 0.0004690225177910179, 0.001585363526828587, 0.0005627131322398782, 0.0053083160892128944, 0.0004144745471421629, 0.0004734989779535681, 0.002698383992537856, 0.0013614000054076314, 0.9653578996658325]"
